comp_id,salary,job_req,job_id,salary_min,comp_detail,job_desp,experience,salary_max,comp_name,address,education,job_title
,35-60万,"
学历不限
3年以上经验
语言不限
27-45岁
",https://www.liepin.com/a/9074302.shtml,35,,"
               Job SummaryData scientist in Discovery team provides business analytic skills towards petabytes of data from a multiple heterogeneous data sources. They must be able to understand the business requirements and use cases of the customer and apply their knowledge around analytics and statistics to solve complex business and data problems. Furthermore, the Big Data Scientist should lead the customer in determining the relevant and compelling questions to ask. In this way, the big data scientist helps a customer understand the potential meaning that can be extracted from their data by applying big data analytics. Help shape the business its rapidly evolving, entrepreneurial culture by taking on impactful projects that add real value company wide. Expertise required in modeling and mining large data sets using technologies such as Aster, R, Matlab, SAS, SPSS, Python, Hive, etc. Experience in different mining techniques to find associations, correlations, evidence, inferences, clusters for big data analytics is key to perform the required job responsibilities. Hands on expertise needed in agile data analytics experiments and creation/deployment of models and algorithm to analyze social, machine, text, sensor, streaming, large volume structured as well as unstructured data. Experience in operations research, statistical modeling, simulation or deep data mining in specific domains required. Must Qualifications?	  Strong mathematical and statistical background (modeling, statistics, analytics, math) ?	  M.S. or Ph.D. in a relevant data science or operations research?	  Experience in solving analytical problems using quantitative approaches ?	  Expertise required in modeling and mining large data sets using technologies such as Aster, R, Matlab, SAS, SPSS, Python, Hive, etc.?	  Fluent in statistical analysis, data mining, and machine language?	  Knowledge of SQLWork EnvironmentPreferred Qualifications?	  Knowledge with Database, EDW, HADOOP, Map/Reduce and PIG ?	  Strong business acumen ?	  Ability to communicate with business and IT leaders in a way that can influence how an organization approaches business.Key Responsibilities?	  Recommend ways in which the business can apply their data to business problems ?	  Use Aster or other analytic tools to analyze peta byte scale ad and data to deliver insightful analytics that solve key client business problems. ?	  Develop innovative experimental design and measurement methodologies ?	  Innovate new modeling and machine learning approaches ?	  Collaborate on compelling new analytical reporting, products and features for our clients that enable data driven decision making. ?	  Find and interpret data rich sources, merge data together, ensure data consistency. ?	  Manage large amounts of data within the domain of hardware, software and bandwidth constraints. ?	  Translate the understanding into well engineered and easy to maintain data concepts ?	  Question existing assumptions and processes.
",3年以上经验,60,,,学历不限,数据挖掘/数据分析
https://www.liepin.com/company/8587549/,42-56万,"
统招本科 5年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/1910797567.shtml,42,,"职责描述：1.运用数据挖掘/统计学习的理论和方法，深入挖掘和分析公司及用户相关数据；2.构建规则引擎，利用自然语言处理技术对大规模文档进行结构化处理，构建智能数据处理流程与系统；3.从系统应用的角度，利用数据挖掘/统计学习的理论和方法解决实际问题，将分析方法工程化、应用化；4.关注机器学习、数据挖掘、人工智能等方向的前沿研究；5.指导和培训工程师，提升团队的机器学习、人工智能整体水平；任职要求：1.熟悉数据统计模型和挖掘技术，熟悉统计工具（R, SAS, SPSS 等）；2.熟悉NLP/NLU 领域理论知识，有深度学习、搜索引擎、推荐系统相关技术经验者优先；3.有独立完整的建模实践经验，有海量数据处理实践经验；4.精通至少一门编程语言(Scala，Python, Java等)；5.有构建知识图谱或预警系统等相关项目经验；6.有使用Spark 进行数据分析的项目经验等；7.能够研发创新方法以解决常规算法不能解决的问题；8.有较好的沟通表达能力，有带队经验者优先考虑；
                            ",5年以上经验,56,驴妈妈,公司地址：上海市普陀区怒江北路399弄新曹杨科技大厦5F,统招本科,数据挖掘架构师
https://www.liepin.com/company/9205387/,13-23万,"
本科及以上 3年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/1910833236.shtml,13,,"工作职责：1.理解公司业务运作逻辑，利用数据分析手段，及时发现业务流程中存在的问题，进行原因分析，提出解决方案；2.用数据驱动和指导公司运营，能够建模，对数据算法有一定的掌握，有大数据处理能力；3.通过数据挖掘，进行用户画像、行业洞察分析、产品资源分析等工作，寻找产品和市场模式改进点与创新点，制定业务策略；4.负责推动用户关联基础数据建设，包括用户行为数据埋点、用户数据模型构建等，建立平台运营及用户相关数据分析指标体系。任职要求：1. 本科及以上学历，计算机、数学、统计学、数据挖掘等相关专业，有互联网、金融行业数据分析，数据挖掘经验者优先；2. 3年以上互联网数据分析、数据挖掘相关工作经验，对数据敏感， 具备良好的沟通交流能力，较好的逻辑分析能力；3. 熟练使用Axure、SQL、Excel等办公软件，一种或几种数据分析工具，如Python、SAS、 R、SPSS等。
",3年以上经验,23,上海鱼耀金融信息服务有限公司,公司地址：长宁区临虹路168弄（IBP国际商务花园东区）6号楼5楼,本科及以上,数据运营
https://www.liepin.com/company/1029076/,18-36万,"
硕士及以上 3年以上经验
普通话 年龄不限
",https://www.liepin.com/job/1910685328.shtml,18,,"岗位职责：1．搭建大规模数据挖掘平台，开发创新性算法和技术；2．根据需求，制定数据挖掘项目计划；3．分析评估产品及业务需求，研究设计相应数据挖掘方案及算法，分析数据，设计方案，构建原型，快速实现对于数据分析、挖掘的需求；4．产出有效的数据模型，形成分析报告，提供运营数据支持；5．对长期数据产品，定期检查，保证数据的准确性、有效性和代表性；6．深入分析互联网逻辑，应用统计学、机器学习、数据挖掘等技术建立模型。任职要求：1．本科以上学历，数学、统计学、计算机等专业背景;2．1年以上相关工作经验，有统计建模、机器学习（聚类、分类、回归等）或数据挖掘应用的项目经验，或在某个相关技术方向有深入研究；3．C/C++、Java、SQL等编程能力；4．精通数据库，能熟练使用至少一种统计分析或数据挖掘工具（例如SPSS、SAS、R、Matlab等）；5.具备熟练的英语交流和沟通能力，有海外留学经历者优先；6.具有数据挖掘工作经验者优先。
                            ",3年以上经验,36,齐家网,公司地址：上海市金沙江路3131号创意产业园6号楼,硕士及以上,数据挖掘工程师
https://www.liepin.com/company/9205387/,12-18万,"
本科及以上 3年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/1910443948.shtml,12,,"工作职责：1.理解公司业务运作逻辑，利用数据分析手段，及时发现业务流程中存在的问题，进行原因分析，提出解决方案；2.用数据驱动和指导公司运营，能够建模，对数据算法有一定的掌握，有大数据处理能力；3.通过数据挖掘，进行用户画像、行业洞察分析、产品资源分析等工作，寻找产品和市场模式改进点与创新点，制定业务策略；4.负责推动用户关联基础数据建设，包括用户行为数据埋点、用户数据模型构建等，建立平台运营及用户相关数据分析指标体系。任职要求：1. 本科及以上学历，计算机、数学、统计学、数据挖掘等相关专业，有互联网、金融行业数据分析，数据挖掘经验者优先；2. 3年以上互联网数据分析、数据挖掘相关工作经验，对数据敏感， 具备良好的沟通交流能力，较好的逻辑分析能力；3. 熟练使用Axure、SQL、Excel等办公软件，一种或几种数据分析工具，如Python、SAS、 R、SPSS等。
",3年以上经验,18,上海鱼耀金融信息服务有限公司,公司地址：长宁区临虹路168弄（IBP国际商务花园东区）6号楼5楼,本科及以上,数据运营专员
https://www.liepin.com/company/8361666/,面议,"
学历不限 2年以上经验
普通话 年龄不限
",https://www.liepin.com/job/193611754.shtml,,,"工作职责：1、数据提炼、分析、归纳用户属性、行为等信息，完成分析结果；2、处理用户海量数据，挖掘用户行为特征，为产品、运营提供参考依据；3、针对具体业务问题，研究影响用户的潜在因素，进行数据分析验证并提出改善举措；4、参与各业务部门的重点项目，负责从数据的角度给出决策建议；5、能实现业务所需的数据分析的应用系统开发；任职资格：1、 本科及以上学历，计算机、统计、经济、数理、信息等相关专业，2年以上相关工作经验，有互联网或金融行业数据分析经验者优先；2、 熟练掌握SQL、EXCEL、PPT、R等常用分析工具及相关编程语言；3、 熟悉多种数据源深度诊断性组合分析、挖掘和建模、数理统计、数据分析、数据挖掘以及常用算法；4、 精通数理统计，掌握常用数据挖掘方法，例如：线性回归，逻辑回归，决策树分群，聚类、关联分析、SVM，贝叶斯等；5、 熟悉Hadoop、Hive、Spark或其它开源数据挖掘（Clementine、SPSSSAS）或机器学习等项目，能够解决数据分析过程中遇到的问题；6、 对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力，优秀的数据思维和强烈的数据决策意识，且思维缜密，做事认真严谨；7、 有较强的人际沟通、协调能力，具备与相关人员沟通数据需求的能力；8、 具备一定的软件开发能力和背景，能根据业务数据要求提供解决方案；9、 银行、信贷、电商、互联网行业数据挖掘分析经验或实际商务智能（BI）应用者优先；
",2年以上经验,,挖财,公司地址：浦东新区杨高南路799号陆家嘴世纪金融广场3号楼,学历不限,高级数据分析师
https://www.liepin.com/company/3698161/,14-21万,"
本科及以上 3年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/199688657.shtml,14,,"工作职责：1、配合互联网金融产品项目，给予数据支持，对产品数据进行整理、分析和深入挖掘，发现产品发展中问题，并提出改进方案；2、对营销和运营活动进行数据分析和总结优化3、自主发起研究课题，通过数据分析挖掘，为产品寻找新的突破点；4、通过深度挖掘用户行为和偏好等，搭建客户画像模型，制定客户分层和相应的用户运营策略，推动数据化运营方案的实施和落地。5、依据产品发展需求，建立智能化分析模型，加强产品智能化功能设计；任职资格：1、 大学本科以上学历，数学系、统计系、计算机或信息管理专业优先，三年或以上数据分析工作经验，有互联网电商数据分析工作经验者优先；2、了解互联网产品数据分析原理，有清晰的数据分析的思路和方法；3、熟练操作excel、spss，精通SQL，能够使用R语言或python4、能够独立完成数理统计、数据分析、数据挖掘等工作，熟知常用算法；5、对数据敏感，善于从数据中发现问题，并可给出一定的解决方案；6、有较高的商业敏感度，能够快速理解业务逻辑，实现业务需求；7、数学、统计、计算机等相关专业硕士及以上学位。
                            ",3年以上经验,21,同程网络,公司地址：浦东新区源深路305号同程金服（6号线源深体育中心4号口出）,本科及以上,数据分析师/数据运营
https://www.liepin.com/company/7858208/,26-33万,"
本科及以上 3年以上经验
语言不限 年龄不限
",https://www.liepin.com/job/199910805.shtml,26,,"工作职责：1、配合到喜啦现有产平台及产品项目，给予数据支持，对产品数据进行整理、分析和深入挖掘，发现产品发展中问题，并提出改进方案；2、对营销和运营活动进行数据分析和总结优化3、自主发起研究课题，通过数据分析挖掘，为产品寻找新的突破点；4、通过深度挖掘用户行为和偏好等，搭建客户画像模型，制定客户分层和相应的用户运营策略，推动数据化运营方案的实施和落地。5、依据产品发展需求，建立智能化分析模型，加强产品智能化功能设计；任职资格：1、 大学本科以上学历，数学系、统计系、计算机或信息管理专业优先，三年或以上数据分析工作经验，有互联网电商数据分析工作经验者优先；2、了解互联网产品数据分析原理，有清晰的数据分析的思路和方法；3、熟练操作excel、spss，精通SQL，能够使用R语言或python4、能够独立完成数理统计、数据分析、数据挖掘等工作，熟知常用算法；5、对数据敏感，善于从数据中发现问题，并可给出一定的解决方案；6、有较高的商业敏感度，能够快速理解业务逻辑，实现业务需求；7、数学、统计、计算机等相关专业硕士及以上学位。
                            ",3年以上经验,33,到喜啦,公司地址：上海杨浦区国定东路200号3号楼1层,本科及以上,高级数据分析师/高级业务分析师
,25-55万,"
学历不限
2年以上经验
语言不限
20-60岁
",https://www.liepin.com/a/10072861.shtml,25,,"
               职责：1. 全面了解电商和互联网金融行业数据，通过大数据挖掘技术研究个人用户本质属性，研发高质量信用评分模型和反欺诈模型产品； 2. 协同产品运营和业务团队全面推进信用数据产品在实际业务场景中的应用，主动获取各方反馈并持续完善产品，优化性能； 3. 运用大数据相关技术和技能，发现并且评估数据在征信领域的价值和应用方向，和各个相关团队沟通协作，制定并且执行数据引入，完善和应用的具体策略； 4. 协同其他团队采集整合信用相关数据，持续建立并完善个人用户信用数据集市；对数据采集应用中的实际问题有深入的了解，对数据有洞察力； 5. 应用先进的统计建模，数据挖掘，机器学习方法解决实际问题，并研发创新方法以解决常规方法不能解决的问题。要求：1. 硕士以上学历，统计学，数学，计算机等相关专业，较好的数学或统计学教育背景优先考虑； 2. 5年以上数据分析/模型开发经验，具有较强的数据整合，数据分析/挖掘，和解决业务问题的能力； 3. 熟练使用SQL，SAS，R、python等数据库和统计分析软件进行数据分析和模型开发； 4. 良好的沟通协调能力和大局意识，能够快速推动工作执行落地； 5. 具有金融行业或征信机构工作经验者优先考虑。""	
",2年以上经验,55,,,学历不限,数据挖掘/数据分析/建模/BI
https://www.liepin.com/company/7862267/,13-26万,"
本科及以上 经验不限
普通话 年龄不限
",https://www.liepin.com/job/196122969.shtml,13,,"岗位职责1、对既有业务的数据的搜集、整理、提取、分配、统计、分析、预测、报告、挖掘和建模等2、对既有业务的流程进行梳理、挖掘，搭建相关业务数据分析体系，确保业务稳定高效运行3、参与核心业务运营数据，优化数据分析工作流程，建立并维护行之有效的工作方法4、关注数据分析和调研，根据反馈对现有业务的数据进行持续改善、优化，撰写相关的数据分析报告5、参与产品运营项目，并且在一定程度上给予评估和建议6、分析用户的特征和行为数据，挖掘不同类型用户的行为特性，为实际的业务运营提供数据支持；7、从数据分析结果中寻找insight和商业价值，并以简明扼要的形式传导到其他部分，指导实际的业务运营。8、沉淀分析思路与框架，构建数据分析体系、推动数据化运营工作； 提炼数据产品需求，推动数据产品落地；9、全业务线业务指标体系建设，通过监控分析及时发现业务问题；岗位要求1、本科以上，计算机、统计、数学等相关专业。2、具备利用数据分析解决业务问题能力。3、了解互联网的大规模数据处理方式与方法；4、了解批量离线式分布式并行计算技术（如Hadoop、MapReduce、Hive、Spark等）5、熟悉R或python脚本，有tabelau经验者优先6、有较强逻辑思考能力强，问题分析能力，思维缜密；7、勤奋好学，良好的表达沟通能力、团队合作及文档交付能力；8、忠诚、勤奋，对工作有责任感和团队精神，能够在压力下工作。
",经验不限,26,合合信息,公司地址：五角场国定路335号三号楼7楼B区（三号湾）,本科及以上,产品及运营分析师
